,Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
2336,Ananasvænget 16,"Søhus, 5270 Odense N",1300000.0,2024,85,3,1,Fri handel
2337,Åsumvej 623,5240 Odense NØ,1198000.0,2024,75,3,1,Fri handel
2338,Mindelundsvej 62,"Seden, 5240 Odense NØ",2900000.0,2024,158,6,2,Fri handel
2339,Rugårdsvej 222,"Tarup, 5210 Odense NV",3200000.0,2024,146,3,3,Fri handel
2340,Over Kæret 6,"Over Holluf, 5220 Odense SØ",1075000.0,2024,180,3,1,Fri handel
2341,Turkisvej 24,"Tarup, 5210 Odense NV",1650000.0,2024,105,3,2,Fri handel
2342,Morelvej 87,"Sanderum, 5250 Odense SV",1305000.0,2024,85,4,1,Fri handel
2343,Læssøegade 31,5000 Odense C,6700000.0,2024,232,10,2,Fri handel
2344,Søballehøjen 14,"Næsbyhoved-Broby, 5270 Odense N",2300000.0,2024,124,4,1,Fri handel
2345,Rasmus Nielsens Vej 7,5000 Odense C,2650000.0,2024,167,4,1,Fri handel
2346,"Ny Vestergade 21, 1.",5000 Odense C,5350000.0,2024,150,5,1,Fri handel
2347,Abels Allé 20,"Sanderum, 5250 Odense SV",2800000.0,2024,108,4,1,Fri handel
2348,Anderupvænget 55,"Anderup, 5270 Odense N",2300000.0,2024,124,5,1,Fri handel
2349,Flemmings Allé 15,"Dalum, 5250 Odense SV",2325000.0,2024,105,4,1,Fri handel
2350,Pilevej 7,"Ejlstrup, 5200 Odense V",1300000.0,2024,94,3,1,Fri handel
2351,"Nyborgvej 98, 2. th.",5000 Odense C,1700000.0,2024,98,3,1,Fri handel
2352,Abels Allé 82,"Sanderum, 5250 Odense SV",3995000.0,2024,117,6,2,Fri handel
2353,"Åløkkehaven 58, 1. tv.",5000 Odense C,1750000.0,2024,66,2,1,Fri handel
2354,Rosenlunden 17C,5000 Odense C,3525000.0,2024,125,3,1,Fri handel
2355,Kalørvej 82,"Ejlstrup, 5200 Odense V",1250000.0,2024,110,4,2,Fri handel
2356,"Oluf Bagers Gade 27, 2. tv.",5000 Odense C,1775000.0,2024,55,2,1,Fri handel
2357,Njalsvej 197,"Højstrup, 5210 Odense NV",1695000.0,2024,78,4,1,Fri handel
2358,Villestoftehaven 22,"Villestofte, 5210 Odense NV",2870000.0,2024,135,4,2,Fri handel
2359,"Oluf Bagers Gade 13, 2.",5000 Odense C,6400000.0,2024,177,7,2,Fri handel
2360,H. Rasmussens Vej 3,5000 Odense C,5799000.0,2024,218,9,3,Fri handel
2361,"Oluf Bagers Gade 13, 1.",5000 Odense C,6400000.0,2024,100,3,1,Fri handel
2362,"Heliosvænget 44, 2. 4.","Dalum, 5250 Odense SV",1055000.0,2024,80,3,1,Fri handel
2363,"Oluf Bagers Gade 13, st.",5000 Odense C,6400000.0,2024,89,3,1,Fri handel
2364,Hermelinløkken 166,"Korup, 5210 Odense NV",1550000.0,2024,121,4,2,Fri handel
2365,Rydsåvej 13,"Paarup, 5210 Odense NV",2150000.0,2024,123,4,2,Fri handel
2366,H.C. Lumbyes Vej 81,"Lumby, 5270 Odense N",2425000.0,2024,161,7,2,Fri handel
2367,Ejlstrupvej 213,"Ejlstrup, 5200 Odense V",1960000.0,2024,149,4,1,Fri handel
2368,Thyras Allé 16,"Dalum, 5250 Odense SV",2350000.0,2024,103,4,1,Fri handel
2369,Carlsen-Skiødts Vej 46,5220 Odense SØ,2120000.0,2024,100,4,1,Fri handel
2370,"Bernstorffsvej 13, 2. th.",5000 Odense C,1380000.0,2024,55,2,1,Fri handel
2371,Vægtens Kvarter 269C,"Holluf Pile, 5220 Odense SØ",1300000.0,2024,63,2,1,Fri handel
2372,Højvang 195,"Næsby, 5270 Odense N",2064000.0,2024,102,5,1,Fri handel
2373,Gammel Højmevej 101,"Højme, 5250 Odense SV",1425000.0,2024,158,5,2,Fri handel
2374,Dronning Louises Vej 15,5000 Odense C,2550000.0,2024,92,3,2,Fri handel
2375,Kærsagerhaven 16,"Højby, 5260 Odense S",3630000.0,2024,170,5,2,Fri handel
2376,Columbinevej 18,"Lumby, 5270 Odense N",1580000.0,2024,156,5,1,Fri handel
2377,Tyttebærvej 1,"Hjallese, 5260 Odense S",1950000.0,2024,99,3,1,Fri handel
2378,Mosegårdsvej 45,5000 Odense C,2785000.0,2024,116,3,3,Fri handel
2379,Lupinvej 62,"Tarup, 5210 Odense NV",2095000.0,2024,112,5,1,Fri handel
2380,Mikkels Mose 18,"Sanderum, 5250 Odense SV",4775000.0,2024,230,5,2,Fri handel
2381,Ubberudvej 53,"Ubberud, 5491 Blommenslyst",1460000.0,2024,86,4,1,Fri handel
2382,Søparken 96,"Hjallese, 5260 Odense S",2355000.0,2024,136,5,2,Fri handel
2383,Porsevænget 6,"Sanderum, 5250 Odense SV",1630000.0,2024,80,3,1,Fri handel
2384,"Johannevej 8, 1.",5000 Odense C,2275000.0,2024,61,3,1,Fri handel
2385,Brinken 59,"Næsby, 5270 Odense N",1450000.0,2024,85,3,1,Fri handel
2386,"Johannevej 8, st.",5000 Odense C,2275000.0,2024,80,4,1,Fri handel
2387,Guldøjevænget 44,"Hjallese, 5260 Odense S",1750000.0,2024,84,4,1,Fri handel
2388,Kirkestenten 5,"Skt Klemens, 5260 Odense S",3695000.0,2024,192,6,3,Fri handel
2389,Gammel Højmevej 205,"Bellinge, 5250 Odense SV",3000000.0,2024,190,5,2,Fri handel
2390,Annasholmsgade 46,5000 Odense C,2995000.0,2024,112,4,3,Fri handel
2391,"Hunderupvej 35, st.",5000 Odense C,2785000.0,2024,102,4,1,Fri handel
2392,Stensgårdvænget 6,5230 Odense M,2937500.0,2024,110,4,1,Fri handel
2393,Ejersløkkevej 8,5220 Odense SØ,2700000.0,2024,140,5,2,Fri handel
2394,Amelievænget 6,"Lumby, 5270 Odense N",1250000.0,2024,96,3,1,Fri handel
2395,"Kongensgade 69E, 4. th.",5000 Odense C,5250000.0,2024,149,4,1,Fri handel
2396,Zahrtmannsvej 14,5230 Odense M,2550000.0,2024,94,4,1,Fri handel
2397,Mågebakken 178,"Sanderum, 5250 Odense SV",2350000.0,2024,94,4,1,Fri handel
2398,Njalsvej 115,"Højstrup, 5210 Odense NV",1525000.0,2024,78,4,1,Fri handel
2399,Munkebjergvej 52,5000 Odense C,5335000.0,2024,167,6,2,Fri handel
2400,"Bogensevej 38B, st.","Næsby, 5270 Odense N",1170000.0,2024,58,3,1,Fri handel
2401,Hvidkløvervej 2,"Tarup, 5210 Odense NV",1950000.0,2024,116,4,2,Fri handel
2402,Hesteskoen 47,"Sanderum, 5250 Odense SV",5695000.0,2024,226,7,2,Fri handel
2403,Skrænten 30,"Næsby, 5270 Odense N",1795000.0,2024,101,4,1,Fri handel
2404,"Holmehusvej 30, st.",5000 Odense C,2700000.0,2024,107,3,1,Fri handel
2405,Pomosavej 22,"Søhus, 5270 Odense N",2035000.0,2024,135,6,2,Fri handel
2406,Kielshusvej 12,"Dalum, 5250 Odense SV",4497000.0,2024,112,3,2,Fri handel
2407,Sønderdalen 2,"Skt Klemens, 5260 Odense S",1400000.0,2024,111,4,1,Fri handel
2408,"Skibhusvej 175, st. tv.",5000 Odense C,1650000.0,2024,76,3,1,Fri handel
2409,Lundebakken 10,"Bellinge, 5250 Odense SV",2800000.0,2024,153,5,1,Fri handel
2410,Gærdesmuttevej 6,"Korup, 5210 Odense NV",2300000.0,2024,140,5,2,Fri handel
2411,Stavisvej 25,"Næsby, 5270 Odense N",1510000.0,2024,90,3,2,Fri handel
2412,"Tietgens Allé 45, st.",5230 Odense M,2115000.0,2024,99,3,1,Fri handel
2413,Hammeren 43,"Bullerup, 5320 Agedrup",2400000.0,2024,158,4,2,Fri handel
2414,Skibhusvej 205,5000 Odense C,3150000.0,2024,193,6,4,Fri handel
2415,"Kingosgade 11, 2. tv.",5000 Odense C,1965000.0,2024,80,3,1,Fri handel
2416,Brinken 16,"Næsby, 5270 Odense N",2575000.0,2024,140,3,1,Fri handel
2417,"Døckerslundsvej 4B, st. th.",5000 Odense C,1050000.0,2024,53,2,1,Fri handel
2418,Saxovej 152,"Højstrup, 5210 Odense NV",1400000.0,2024,78,4,1,Fri handel
2419,Abels Allé 21,"Sanderum, 5250 Odense SV",2250000.0,2024,88,3,1,Fri handel
2420,Brolandvej 67,"Agedrup, 5320 Agedrup",1200000.0,2024,116,4,1,Fri handel
2421,"Nørrevænget 43B, 2.",5000 Odense C,1850000.0,2024,83,3,1,Fri handel
2422,Åløkkehaven 12,5000 Odense C,4905000.0,2024,120,5,1,Fri handel
2423,Sanderumvej 221,"Sanderum, 5250 Odense SV",800000.0,2024,115,3,1,Fri handel
2424,Rødegårdsvænget 4,5230 Odense M,1800000.0,2024,94,4,1,Fri handel
2425,"Windelsvej 40, 1.",5000 Odense C,1950000.0,2024,81,4,1,Fri handel
2426,"Windelsvej 40, st.",5000 Odense C,1950000.0,2024,81,4,2,Fri handel
2427,Rosenholmvænget 17,"Søhus, 5270 Odense N",1047500.0,2024,85,4,1,Fri handel
2428,Prins Aages Allé 4,"Dalum, 5250 Odense SV",4295000.0,2024,148,6,2,Fri handel
2429,"Christiansgade 90, 1. tv.",5000 Odense C,1610000.0,2024,66,2,1,Fri handel
2430,Mindelundsvej 18,"Seden, 5240 Odense NØ",1690000.0,2024,129,4,2,Fri handel
2431,Sophie Breums Vej 13,5000 Odense C,5000000.0,2024,178,6,2,Fri handel
2432,"Holmehusvej 73, 2. tv.",5000 Odense C,1150000.0,2024,58,2,1,Fri handel
2433,Hjulets Kvarter 584,"Holluf Pile, 5220 Odense SØ",2700000.0,2024,123,5,2,Fri handel
2434,Helleløkken 4E,"Brændekilde, 5250 Odense SV",2280000.0,2024,160,6,2,Fri handel
2435,Skrænten 59,"Næsby, 5270 Odense N",2325000.0,2024,130,4,1,Fri handel
2436,Bjergfyrvangen 21E,"Stige, 5270 Odense N",2400000.0,2024,136,5,2,Fri handel
2437,Svendborgvej 101,"Hjallese, 5260 Odense S",2080000.0,2024,137,6,2,Fri handel
2438,Østrupvej 17,"Tarup, 5210 Odense NV",2245000.0,2024,83,4,2,Fri handel
2439,"Holmehusvej 28, st. th.",5000 Odense C,2495000.0,2024,96,3,1,Fri handel
2440,Holmehusvej 43,5000 Odense C,2400000.0,2024,65,3,2,Fri handel
2441,Morelvej 88,"Sanderum, 5250 Odense SV",2195000.0,2024,100,4,2,Fri handel
2442,Tirsvej 13,"Bolbro, 5200 Odense V",2975000.0,2024,132,4,2,Fri handel
2443,"Duftrankevej 165, 4. tv.",5200 Odense V,1910000.0,2024,73,2,1,Fri handel
2444,"Østerbæksvej 25, 2. tv.",5230 Odense M,1780000.0,2024,72,3,1,Fri handel
2445,Hammeren 41,"Bullerup, 5320 Agedrup",2650000.0,2024,153,5,2,Fri handel
2446,Kristiansdals Allé 115,"Dalum, 5250 Odense SV",2450000.0,2024,140,4,1,Fri handel
2447,Søndermarken 11,"Villestofte, 5210 Odense NV",2650000.0,2024,132,5,2,Fri handel
2448,Søhusvænget 29,"Søhus, 5270 Odense N",1940000.0,2024,98,4,1,Fri handel
2449,Grønnevangen 26,"Snestrup, 5210 Odense NV",3300000.0,2024,131,5,2,Fri handel
2450,Rådyrvej 48,"Slukefter, 5210 Odense NV",1285000.0,2024,69,3,1,Fri handel
2451,Pilevej 22,"Ejlstrup, 5200 Odense V",1175000.0,2024,110,3,1,Fri handel
2452,Sellerihaven 14,"Aasum, 5320 Agedrup",2995000.0,2024,147,4,2,Fri handel
2453,Enighedsvej 44,5000 Odense C,2650000.0,2024,88,4,1,Fri handel
2454,Gudrunvænget 9,"Næsby, 5270 Odense N",2025000.0,2024,134,4,2,Fri handel
2455,Nøglens Kvarter 79,"Holluf Pile, 5220 Odense SØ",2095000.0,2024,106,5,2,Fri handel
2456,Flintagerløkken 4,"Bellinge, 5250 Odense SV",2725000.0,2024,137,6,2,Fri handel
2457,Engdraget 1,"Næsby, 5270 Odense N",1875000.0,2024,100,3,1,Fri handel
2458,Æbleskivegyden 8,"Allesø, 5270 Odense N",2875000.0,2024,195,6,2,Fri handel
2459,Enighedsvej 36,5000 Odense C,2600000.0,2024,133,6,2,Fri handel
2460,Ahlefeldtsvej 12,5230 Odense M,3700000.0,2024,157,6,3,Fri handel
2461,Arevænget 7,"Højstrup, 5210 Odense NV",1975000.0,2024,116,4,1,Fri handel
2462,Åbrinken 49,5220 Odense SØ,3200000.0,2024,117,3,1,Fri handel
2463,Krogsløkkeparken 60,"Seden, 5240 Odense NØ",1595000.0,2024,105,4,2,Fri handel
2464,"Rødegårdsvej 73, st. th.",5000 Odense C,1100000.0,2024,66,2,1,Fri handel
2465,Næsbyhave 111,"Næsby, 5270 Odense N",1475000.0,2024,95,5,1,Fri handel
2466,Niels Juels Allé 49,"Sanderum, 5250 Odense SV",3550000.0,2024,150,5,1,Fri handel
2467,"Ingeborgvej 10, 1.",5000 Odense C,2150000.0,2024,99,2,2,Fri handel
2468,Vesterløkken 18,"Villestofte, 5210 Odense NV",1850000.0,2024,151,4,2,Fri handel
2469,Tønnesvej 31,"Søhus, 5270 Odense N",2750000.0,2024,168,6,2,Fri handel
2470,Hollufgård Vænget 20,"Holluf Pile, 5220 Odense SØ",3395000.0,2024,128,5,2,Fri handel
2471,Øksnebjergvej 42,5230 Odense M,2700000.0,2024,118,6,1,Fri handel
2472,"Rødegårdsvej 38, 2.",5000 Odense C,1400000.0,2024,62,2,1,Fri handel
2473,Njalsvej 59,"Højstrup, 5210 Odense NV",1141000.0,2024,78,4,1,Fri handel
2474,Njalsvej 192,"Højstrup, 5210 Odense NV",1107500.0,2024,78,4,1,Fri handel
2475,Sybergsvej 35,5220 Odense SØ,2400000.0,2024,108,4,1,Fri handel
2477,"Ingeborgvej 10, st.",5000 Odense C,2150000.0,2024,63,2,1,Fri handel
2478,Kærlandsvej 2A,"Hjallese, 5260 Odense S",1280750.0,2024,181,6,1,Fri handel
2479,Groløkkevænget 8,"Søhus, 5270 Odense N",2525000.0,2024,120,3,2,Fri handel
2480,Daltoften 91,"Agedrup, 5320 Agedrup",1995000.0,2024,101,4,1,Fri handel
2481,"Vindegade 100B, st.",5000 Odense C,4025000.0,2024,223,6,1,Fri handel
2482,Thurøgade 64,5000 Odense C,3195000.0,2024,107,4,1,Fri handel
2483,"Nyborgvej 104, st.",5000 Odense C,1140000.0,2024,67,2,1,Fri handel
2484,"Rødegårdsvej 59, 3. tv.",5000 Odense C,1625000.0,2024,81,3,1,Fri handel
2485,Lungstedvangen 106,"Bellinge, 5250 Odense SV",2727500.0,2024,124,3,1,Fri handel
2486,Krügersvej 25,5000 Odense C,2975000.0,2024,75,3,1,Fri handel
2487,Rahbeksvej 8,5230 Odense M,4400000.0,2024,112,4,2,Fri handel
2488,Læssøegade 61,5230 Odense M,2995000.0,2024,257,8,2,Fri handel
2489,Carlsen-Skiødts Vej 32,5220 Odense SØ,1350000.0,2024,100,4,2,Fri handel
2490,"Ryttergade 7, st.",5000 Odense C,1665000.0,2024,98,3,1,Fri handel
2491,Rulkehøjen 8,"Hjallese, 5260 Odense S",2800000.0,2024,155,5,2,Fri handel
2492,Klokkens Kvarter 209,"Holluf Pile, 5220 Odense SØ",2390000.0,2024,112,4,1,Fri handel
2493,Dyrupgårdvænget 32,"Dyrup, 5250 Odense SV",2950000.0,2024,126,4,2,Fri handel
2494,"Ørstedsgade 41, 3. th.",5000 Odense C,800000.0,2024,65,1,1,Fri handel
2495,Victoriagade 20,5000 Odense C,4600000.0,2024,150,4,3,Fri handel
2496,H.J. Poulsens Allé 12,"Sanderum, 5250 Odense SV",2600000.0,2024,134,5,2,Fri handel
2497,Ølstedgårdvej 30,5230 Odense M,3100000.0,2024,163,7,3,Fri handel
2498,Ildfuglevænget 119,"Hjallese, 5260 Odense S",2285000.0,2024,114,4,2,Fri handel
2499,Rypebakken 38,"Snestrup, 5210 Odense NV",5600000.0,2024,250,6,3,Fri handel
2500,Bramstrupvej 6,5230 Odense M,2700000.0,2024,110,4,2,Fri handel
2501,Volderslevvej 31,"Hjallese, 5260 Odense S",1645000.0,2024,108,4,2,Fri handel
2502,Thujavej 137,"Dyrup, 5250 Odense SV",2145000.0,2024,125,4,2,Fri handel
2503,Stockflethsvej 4,5230 Odense M,6200000.0,2024,178,7,2,Fri handel
2504,"Gravene 6, 1.",5000 Odense C,6000000.0,2024,224,5,1,Fri handel
2505,Nørrevænget 28,5000 Odense C,3750000.0,2024,180,6,3,Fri handel
2506,Middelfartvej 323,"Stegsted, 5200 Odense V",975000.0,2024,97,3,2,Fri handel
2507,Skovly 2,"Tarup, 5210 Odense NV",3550000.0,2024,128,4,2,Fri handel
2508,Vægtens Kvarter 29,"Holluf Pile, 5220 Odense SØ",1995000.0,2024,100,4,1,Fri handel
2509,Ved Vejgården 1,"Kirkendrup, 5270 Odense N",3175000.0,2024,166,5,2,Fri handel
2510,Hedelundhegnet 19,"Stige, 5270 Odense N",3700000.0,2024,154,5,2,Fri handel
2511,Sprogøvej 23,5000 Odense C,2395000.0,2024,100,4,1,Fri handel
2512,Rugårdsvej 129,"Tarup, 5210 Odense NV",2500000.0,2024,184,7,2,Fri handel
2513,Købkesvej 2,5230 Odense M,3800000.0,2024,136,5,2,Fri handel
2514,Hindbærvej 5,"Hjallese, 5260 Odense S",1537500.0,2024,128,5,2,Fri handel
2515,Damsbovænget 38,5230 Odense M,900000.0,2024,102,3,2,Fri handel
2516,Skt. Knuds Gade 7,5000 Odense C,4995000.0,2024,136,4,2,Fri handel
2517,H.J. Poulsens Allé 130,"Sanderum, 5250 Odense SV",1909325.0,2024,88,4,1,Fri handel
2518,"Vestre Stationsvej 72, st.",5000 Odense C,1550000.0,2024,80,3,1,Fri handel
2519,Ugletoften 53,"Højby, 5260 Odense S",1950000.0,2024,124,5,1,Fri handel
2520,"Filosofgangen 120, st. tv.",5000 Odense C,2470000.0,2024,80,2,1,Fri handel
2521,Ryleholmen 17,"Seden, 5240 Odense NØ",1652204.0,2024,172,6,2,Fri handel
2522,"Mejlholmgade 73, 1. tv.",5000 Odense C,2325000.0,2024,88,4,1,Fri handel
2523,Skovløkken 6,"Tarup, 5210 Odense NV",3856000.0,2024,164,7,2,Fri handel
2524,Skovbakken 69,"Skt Klemens, 5260 Odense S",3250000.0,2024,158,5,2,Fri handel
2525,"Vestre Stationsvej 44, 1.",5000 Odense C,2350000.0,2024,98,4,1,Fri handel
2526,Nordskovvej 14,5230 Odense M,2650000.0,2024,195,6,3,Fri handel
2527,"Promenadebyen 14, 4. th.",5000 Odense C,5600000.0,2024,143,3,2,Fri handel
2528,Zahrtmannsvej 4,5230 Odense M,2200000.0,2024,90,4,1,Fri handel
2529,"Rosenørnsvej 37, st. th.",5230 Odense M,1615000.0,2024,90,4,1,Fri handel
2530,Lundekærsvej 43,"Bellinge, 5250 Odense SV",1725000.0,2024,116,4,2,Fri handel
2531,Skovhavevej 64,"Fangel, 5260 Odense S",720000.0,2024,193,4,2,Fri handel
2532,Byghøjvej 2,"Bellinge, 5250 Odense SV",3550000.0,2024,226,7,3,Fri handel
2533,Allingtonvænget 7,"Søhus, 5270 Odense N",1675000.0,2024,85,4,1,Fri handel
2534,"Tarupvej 5, st.","Tarup, 5210 Odense NV",1505000.0,2024,79,3,1,Fri handel
2535,Poppelvej 11,5230 Odense M,6850000.0,2024,122,5,2,Fri handel
2536,"Christiansgade 9, st. tv.",5000 Odense C,1675000.0,2024,75,2,1,Fri handel
2537,Søparken 138,"Hjallese, 5260 Odense S",3125000.0,2024,210,6,3,Fri handel
2538,Holevænget 3,"Korup, 5210 Odense NV",1415000.0,2024,129,4,1,Fri handel
2539,Lundsgårds Vænge 31,"Villestofte, 5210 Odense NV",2430000.0,2024,120,4,2,Fri handel
2540,Tarupvej 132,"Snestrup, 5210 Odense NV",1495000.0,2024,129,3,2,Fri handel
2541,"Tarupvej 5, 1.","Tarup, 5210 Odense NV",1505000.0,2024,70,3,1,Fri handel
2542,Højløkke Allé 16,"Næsby, 5270 Odense N",1420000.0,2024,64,2,1,Fri handel
2543,Ejlstrupvej 219,"Ejlstrup, 5200 Odense V",1550000.0,2024,110,4,2,Fri handel
2544,Romerdalen 85,"Bellinge, 5250 Odense SV",3795000.0,2024,140,5,2,Fri handel
2545,Herluf Trolles Vej 215,5220 Odense SØ,1810000.0,2024,86,4,1,Fri handel
2546,Tirsvej 8,"Bolbro, 5200 Odense V",1400000.0,2024,107,3,1,Fri handel
2547,"Henriettevej 14, 2. tv.",5000 Odense C,1575000.0,2024,72,2,1,Fri handel
2548,Bjergfyrvangen 15,"Stige, 5270 Odense N",2435000.0,2024,117,5,2,Fri handel
2549,Ugletoften 26,"Højby, 5260 Odense S",1310000.0,2024,78,3,1,Fri handel
2550,Lumbyvej 36C,"Næsby, 5000 Odense C",1850000.0,2024,83,3,2,Fri handel
2551,H.J. Poulsens Allé 90,"Sanderum, 5250 Odense SV",2301000.0,2024,85,3,1,Fri handel
2552,Kronhjortløkken 204,"Korup, 5210 Odense NV",2000000.0,2024,113,4,1,Fri handel
2553,"Møllervænget 8, st. tv.",5230 Odense M,4290000.0,2024,90,3,1,Fri handel
2554,Faaborgvej 265,"Dyrup, 5250 Odense SV",3270000.0,2024,232,8,3,Fri handel
2555,Sønderdalen 22,"Skt Klemens, 5260 Odense S",1500000.0,2024,111,4,1,Fri handel
2556,"Møllervænget 8, 1.",5230 Odense M,4290000.0,2024,90,3,1,Fri handel
2557,"Møllervænget 8, st. th.",5230 Odense M,4290000.0,2024,64,2,1,Fri handel
2558,Ibsensvej 26,5000 Odense C,5400000.0,2024,160,6,2,Fri handel
2559,"Carl Baggers Allé 9, 1.","Dalum, 5250 Odense SV",4500000.0,2024,105,3,1,Fri handel
2560,Lykkegårdsvej 48,"Snestrup, 5210 Odense NV",1722000.0,2024,109,4,2,Fri handel
2561,"Carl Baggers Allé 9, st.","Dalum, 5250 Odense SV",4500000.0,2024,105,3,1,Fri handel
2562,Ølstedgårdvænget 8,5230 Odense M,4600000.0,2024,203,6,3,Fri handel
2563,Kildevangen 19,"Korup, 5210 Odense NV",1685000.0,2024,148,6,2,Fri handel
2564,"Drejøgade 8, 2.",5000 Odense C,2325000.0,2024,81,2,1,Fri handel
2565,Carl Baggers Allé 21,"Dalum, 5250 Odense SV",6200000.0,2024,207,7,3,Fri handel
2566,Ærtebjerggårdvej 104,"Kirkendrup, 5270 Odense N",1650000.0,2024,113,3,1,Fri handel
2567,Mariavænget 17,"Hjallese, 5260 Odense S",3300000.0,2024,152,4,1,Fri handel
2568,"Dronningensgade 51, 2.",5000 Odense C,1620000.0,2024,62,3,1,Fri handel
2569,"Christiansgade 77, st. tv.",5000 Odense C,1500000.0,2024,59,2,1,Fri handel
2570,"Gyldenløvesgade 6, 2. tv.",5000 Odense C,1130000.0,2024,56,2,1,Fri handel
2571,Hjortetakken 13,"Bellinge, 5250 Odense SV",4225000.0,2024,162,5,2,Fri handel
2572,"Åløkkehaven 35, 1.",5000 Odense C,2200000.0,2024,85,3,2,Fri handel
2573,Skovfyrvangen 1,"Stige, 5270 Odense N",2560000.0,2024,135,5,2,Fri handel
2574,"Åløkkehaven 35, st.",5000 Odense C,2200000.0,2024,85,3,1,Fri handel
2575,Slettensvej 56,"Søhus, 5270 Odense N",3245000.0,2024,155,5,1,Fri handel
2576,Chr. Winthers Vej 28,5230 Odense M,7200000.0,2024,150,8,3,Fri handel
2577,Hvidtjørnvej 30,"Ejlstrup, 5200 Odense V",2950000.0,2024,181,5,2,Fri handel
2578,Bogensevej 77,"Næsby, 5270 Odense N",1350000.0,2024,117,4,2,Fri handel
2579,"Schacksgade 4, 3. th.",5000 Odense C,1450000.0,2024,59,2,1,Fri handel
2580,"Vestre Stationsvej 90A, 1. th.",5000 Odense C,1150000.0,2024,51,2,1,Fri handel
2581,Uraniavænget 16,"Paarup, 5210 Odense NV",2800000.0,2024,174,5,2,Fri handel
2582,Elmegårdsvej 66,"Bellinge, 5250 Odense SV",3425000.0,2024,147,4,2,Fri handel
2583,Demantsvej 21,"Hjallese, 5260 Odense S",3600000.0,2024,169,6,2,Fri handel
2584,Tønnesvej 38,"Søhus, 5270 Odense N",1995000.0,2024,158,5,2,Fri handel
2585,"Aulkærvænget 14, st. 7.","Højby, 5260 Odense S",645000.0,2024,34,1,1,Fri handel
2586,"Hannerupgårdsvej 51, st. tv.",5230 Odense M,1900000.0,2024,58,2,1,Fri handel
2587,"Hibiscusvej 72, 1. tv.",5200 Odense V,2425000.0,2024,104,4,2,Fri handel
2588,"Skibhusvej 63, st. tv.",5000 Odense C,1275000.0,2024,55,2,1,Fri handel
2589,"Floravænget 15, 1. mf.","Dalum, 5250 Odense SV",625000.0,2024,43,1,1,Fri handel
2590,Skovhaven 51,"Bullerup, 5320 Agedrup",1445000.0,2024,120,4,2,Fri handel
2591,Kærholmen 3,"Næsby, 5270 Odense N",1325000.0,2024,125,5,1,Fri handel
2592,"Enggade 8, st.",5000 Odense C,1400000.0,2024,77,3,1,Fri handel
2593,Trykstokken 39,"Bellinge, 5250 Odense SV",3750000.0,2024,145,4,2,Fri handel
2594,Bakkeskråningen 27,"Næsby, 5270 Odense N",3581500.0,2024,184,7,2,Fri handel
2595,Chr. Winthers Vej 18,5230 Odense M,6350000.0,2024,176,6,2,Fri handel
2596,Sukkervænget 41,5000 Odense C,3195000.0,2024,118,4,2,Fri handel
2597,Ugletoften 207,"Højby, 5260 Odense S",1900000.0,2024,109,4,2,Fri handel
2598,Tybrindvænget 42,5230 Odense M,2725000.0,2024,97,4,1,Fri handel
2599,Guldsmedevænget 279,"Hjallese, 5260 Odense S",1995000.0,2024,106,5,2,Fri handel
2600,Lindevej 70,"Dalum, 5250 Odense SV",5495000.0,2024,130,4,2,Fri handel
2601,Thyregodsvej 3,5210 Odense NV,2530000.0,2024,154,5,2,Fri handel
2602,Ålemarksgyden 54,"Næsbyhoved-Broby, 5270 Odense N",3900000.0,2024,201,5,1,Fri handel
2603,Sdr. Boulevard 58C,5000 Odense C,4300000.0,2024,163,4,2,Fri handel
2604,"Hjallesevej 117, 1. tv.",5230 Odense M,1100000.0,2024,85,3,1,Fri handel
2605,Spangsvej 47,"Paarup, 5210 Odense NV",1895000.0,2024,74,3,2,Fri handel
2606,Tingskiftet 26,"Søhus, 5270 Odense N",1925000.0,2024,128,4,1,Fri handel
2607,Strand Allé 28,"Seden, 5240 Odense NØ",2425000.0,2024,138,3,1,Fri handel
2608,Bredbjergvej 22,5230 Odense M,3195000.0,2024,154,6,2,Fri handel
2609,Hans Jensens Stræde 27,5000 Odense C,5600000.0,2024,139,4,2,Fri handel
2610,Erholmvænget 33,5230 Odense M,2595000.0,2024,89,4,1,Fri handel
2611,"Åløkkehaven 58, 1. th.",5000 Odense C,1450000.0,2024,66,2,1,Fri handel
2612,Odinsgade 27,5000 Odense C,3100000.0,2024,145,4,2,Fri handel
2613,Kronhjortløkken 90,"Korup, 5210 Odense NV",1685000.0,2024,149,4,2,Fri handel
2614,"Store Glasvej 38, 2. th.",5000 Odense C,2660000.0,2024,149,4,1,Fri handel
2615,Guldsmedevænget 265,"Hjallese, 5260 Odense S",1816000.0,2024,91,4,1,Fri handel
2616,"Nyborgvej 61, 2. tv.",5000 Odense C,2500000.0,2024,93,3,1,Fri handel
2617,Hjortetakken 1,"Bellinge, 5250 Odense SV",5050000.0,2024,182,5,2,Fri handel
2618,Ranunkelvænget 1A,"Dyrup, 5250 Odense SV",1350000.0,2024,98,4,1,Fri handel
2619,Lundekærsvej 66,"Bellinge, 5250 Odense SV",2100000.0,2024,169,6,2,Fri handel
2620,Lundekærsvej 48,"Bellinge, 5250 Odense SV",1900000.0,2024,109,4,2,Fri handel
